,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
94,nikolskoye,59.7,30.79,36.0,93,90,6.71,RU,1576980048
95,hovd,63.83,10.7,43.0,94,75,3.36,NO,1576980048
96,abu dhabi,24.47,54.37,64.4,55,0,3.36,AE,1576979915
97,pisco,-13.71,-76.2,69.8,83,20,14.99,PE,1576980048
98,kapaa,22.08,-159.32,80.6,78,90,25.28,US,1576980048
99,mar del plata,-46.43,-67.52,66.0,41,10,21.92,AR,1576980048
100,provideniya,64.42,-173.23,4.3,71,0,3.0,RU,1576980049
101,inongo,-1.93,18.29,71.35,85,71,2.3,CD,1576980049
102,solwezi,-12.18,26.4,59.13,95,82,2.01,ZM,1576980049
103,yarmouth,43.84,-66.12,25.0,92,75,2.24,CA,1576980049
104,vao,59.1,26.19,37.24,97,100,7.14,EE,1576980049
105,saint-philippe,45.36,-73.48,12.99,85,1,1.79,CA,1576980049
106,bhilwara,25.35,74.64,57.51,44,0,8.61,IN,1576980050
107,barrow,-38.31,-60.23,47.12,80,0,3.85,AR,1576980050
108,mandalgovi,45.76,106.27,5.5,90,0,5.84,MN,1576980050
109,bluff,-23.58,149.07,96.93,24,0,13.15,AU,1576980050
110,khatanga,71.98,102.47,-19.12,91,0,5.75,RU,1576980050
111,poum,41.28,20.71,46.45,97,100,4.83,MK,1576980050
112,batagay-alyta,67.8,130.41,-16.26,94,100,5.97,RU,1576980050
113,vila velha,-3.71,-38.6,86.0,69,100,14.99,BR,1576979913
114,hobart,-42.88,147.33,73.0,42,24,14.99,AU,1576980018
115,broome,52.47,1.45,48.0,93,100,10.29,GB,1576980051
116,serov,59.61,60.57,-2.99,99,6,0.63,RU,1576980051
117,virginia,39.95,-90.21,39.2,69,1,6.93,US,1576980051
118,faanui,-16.48,-151.75,79.14,79,100,9.89,PF,1576980051
119,luderitz,-26.65,15.16,66.2,68,0,16.11,NA,1576980052
120,carauari,-4.88,-66.9,74.66,98,100,0.6,BR,1576980052
121,saint george,39.45,22.34,46.4,93,20,7.99,GR,1576980052
122,anadyr,64.73,177.51,-9.0,76,61,6.71,RU,1576980052
123,santa rosa,-36.62,-64.29,64.62,31,0,8.41,AR,1576980052
124,oranjestad,12.52,-70.03,82.4,74,20,19.46,AW,1576979882
125,port elizabeth,39.31,-74.98,32.0,85,1,2.59,US,1576980052
126,lipovtsy,44.2,131.72,10.89,75,32,2.15,RU,1576980053
127,narsaq,60.91,-46.05,33.8,50,26,17.22,GL,1576980053
128,manaure,11.78,-72.45,80.4,83,86,23.06,CO,1576980053
129,zalantun,48.0,122.72,1.62,72,8,3.15,CN,1576980053
130,sao jose da coroa grande,-8.9,-35.15,81.0,70,84,16.37,BR,1576980053
131,roma,41.89,12.48,62.01,87,75,18.34,IT,1576979942
132,charyshskoye,51.4,83.56,24.62,95,100,5.86,RU,1576980053
133,balagunan,7.49,125.52,82.4,74,75,5.82,PH,1576980054
134,batemans bay,-35.71,150.18,69.03,45,83,6.87,AU,1576980054
135,tricase,39.93,18.36,62.01,93,75,6.93,IT,1576980054
136,akdepe,42.05,59.39,24.8,78,0,4.7,TM,1576980054
137,nanortalik,60.14,-45.24,27.12,53,84,3.96,GL,1576980054
138,arraial do cabo,-22.97,-42.02,76.17,87,81,25.93,BR,1576980054
139,mount isa,-20.73,139.49,98.6,27,0,19.46,AU,1576980054
140,bismarck,46.81,-100.78,39.0,86,1,4.7,US,1576979984
141,nizwa,22.93,57.53,54.41,67,0,4.92,OM,1576980055
142,boden,65.83,21.69,28.4,100,91,1.12,SE,1576980055
143,batesville,35.77,-91.64,43.0,75,75,4.7,US,1576980055
144,north platte,41.12,-100.77,39.0,49,1,10.04,US,1576980055
145,hinton,53.4,-117.57,21.07,91,100,3.11,CA,1576980056
146,nishihara,35.74,139.53,48.99,81,90,4.7,JP,1576980056
147,neiafu,-18.65,-173.98,84.2,74,40,9.17,TO,1576980056
148,bambous virieux,-20.34,57.76,80.6,69,75,12.75,MU,1576980056
149,lagos,6.46,3.39,78.8,94,20,2.82,NG,1576979982
150,east london,-33.02,27.91,68.07,76,100,14.92,ZA,1576980056
151,pakhtakoron,40.16,68.75,26.06,88,95,2.57,UZ,1576980057
152,aksarka,66.56,67.8,-11.02,99,75,9.48,RU,1576980057
153,caconda,-13.73,15.06,60.62,96,35,2.57,AO,1576980057
154,esperance,-33.86,121.89,89.6,27,100,24.16,AU,1576980057
155,odienne,9.51,-7.57,68.86,41,0,2.73,CI,1576980057
156,baykit,61.68,96.39,-21.44,95,0,0.34,RU,1576980057
157,sitka,37.17,-99.65,45.0,35,0,1.99,US,1576980057
158,sambava,-14.27,50.17,72.45,83,14,3.53,MG,1576980057
159,deputatskiy,69.3,139.9,-22.52,95,100,7.38,RU,1576980058
160,cabo san lucas,22.89,-109.91,70.0,73,5,9.17,MX,1576979915
161,saint joseph,39.77,-94.85,41.0,100,1,6.93,US,1576980058
162,ozernovskiy,51.5,156.52,19.45,61,100,15.03,RU,1576980058
163,marzuq,14.4,46.47,48.24,64,4,2.19,YE,1576980058
164,acari,-6.44,-36.64,69.1,84,37,18.86,BR,1576980058
165,senneterre,48.39,-77.24,15.8,92,90,17.22,CA,1576980058
166,vila,45.18,8.4,46.99,100,75,12.75,IT,1576980059
167,kruisfontein,-34.0,24.73,50.85,91,1,2.66,ZA,1576980059
168,hasaki,35.73,140.83,46.4,87,75,6.93,JP,1576980059
169,qaanaaq,77.48,-69.36,-5.75,72,84,2.59,GL,1576980059
170,killybegs,54.63,-8.45,39.99,97,93,4.0,IE,1576980059
171,khani,41.96,42.96,39.2,36,100,6.93,GE,1576980059
172,salihli,38.48,28.15,50.79,75,38,7.36,TR,1576980060
173,sao joao de pirabas,-0.77,-47.18,76.86,87,33,2.21,BR,1576980060
174,srednekolymsk,67.46,153.71,-17.09,97,100,5.03,RU,1576980060
175,bethel,60.79,-161.76,3.2,84,40,3.36,US,1576980060
176,ancud,-41.87,-73.83,59.0,62,0,9.17,CL,1576980060
177,port blair,11.67,92.75,78.8,88,40,2.24,IN,1576980060
178,cherskiy,68.75,161.3,-25.42,82,2,10.89,RU,1576980061
179,la cruz,23.92,-106.89,70.0,81,0,5.17,MX,1576980061
180,shu,43.6,73.76,23.0,72,99,5.01,KZ,1576980061
181,colonia,46.6,23.97,46.4,75,100,8.05,RO,1576980061
182,yantal,56.85,105.25,-19.3,97,0,2.01,RU,1576980061
183,fergus falls,46.28,-96.08,34.0,86,1,6.93,US,1576980019
184,timizart,36.8,4.25,64.35,73,2,26.42,DZ,1576980062
185,mocuba,-16.84,36.99,72.34,98,2,2.04,MZ,1576980062
186,butaritari,3.07,172.79,83.75,73,100,7.47,KI,1576980062
187,kenai,60.55,-151.26,12.99,85,20,3.36,US,1576980062
188,roald,62.58,6.12,39.99,86,0,4.7,NO,1576980062
189,new norfolk,-42.78,147.06,73.0,42,51,14.99,AU,1576980062
190,rassvet,49.11,45.47,31.68,73,100,13.22,RU,1576980063
191,beringovskiy,63.05,179.32,19.51,73,100,4.56,RU,1576980063
192,chandur,20.82,77.97,68.74,62,15,4.81,IN,1576980063
193,mahebourg,-20.41,57.7,80.6,69,75,12.75,MU,1576980063
194,senador jose porfirio,-2.59,-51.95,75.15,93,66,4.97,BR,1576980063
195,palu,-0.9,119.87,82.81,57,100,3.31,ID,1576980063
196,cockburn town,21.46,-71.14,78.39,79,0,20.13,TC,1576979974
197,zhoucheng,31.35,119.33,46.4,100,90,4.47,CN,1576980064
198,ishigaki,24.34,124.16,77.0,83,20,5.82,JP,1576980064
199,manta,45.1,24.1,44.17,96,98,1.34,RO,1576980064
200,salaga,8.55,-0.52,76.37,22,16,3.76,GH,1576980064
201,xining,36.62,101.77,19.63,28,0,6.17,CN,1576979766
202,college,64.86,-147.8,-18.99,73,100,2.01,US,1576980389
203,alibag,18.64,72.88,84.0,57,93,3.36,IN,1576980389
204,cap malheureux,-19.98,57.61,80.6,69,75,12.75,MU,1576980390
205,alice springs,-23.7,133.88,104.0,9,0,12.75,AU,1576980387
206,kodiak,39.95,-94.76,41.0,80,1,9.17,US,1576980390
207,bowen,-20.01,148.25,91.99,43,40,14.99,AU,1576980390
208,aksu,52.04,76.93,21.2,92,90,11.18,KZ,1576980390
209,nome,30.04,-94.42,53.6,76,90,4.7,US,1576980390
210,dhidhdhoo,6.88,73.1,82.78,80,3,20.51,MV,1576980390
211,surt,31.21,16.59,59.45,24,84,12.5,LY,1576980391
212,salalah,17.01,54.1,71.6,37,0,21.92,OM,1576980391
213,fern creek,38.16,-85.59,44.6,79,1,2.84,US,1576980391
214,del rio,29.36,-100.9,57.2,31,1,3.36,US,1576980391
215,briancon,44.9,6.65,45.0,91,100,9.55,FR,1576980391
216,lahaina,20.87,-156.68,78.8,83,75,25.28,US,1576980126
217,alofi,-19.06,-169.92,84.2,79,90,17.22,NU,1576980392
218,zapolyarnyy,69.43,30.82,5.0,84,100,8.05,RU,1576980392
219,saint-pierre,48.95,4.24,48.2,87,75,20.8,FR,1576980392
220,saldanha,41.42,-6.55,44.26,78,30,17.87,PT,1576980392
221,oxapampa,-10.58,-75.4,55.67,98,100,2.1,PE,1576980393
222,luau,-10.7,22.23,62.04,98,84,2.26,CD,1576980393
223,natchitoches,31.76,-93.09,48.2,81,90,3.36,US,1576980209
224,bandarbeyla,9.49,50.81,77.49,72,33,24.61,SO,1576980393
225,shingu,33.72,135.99,51.8,50,75,4.7,JP,1576980393
226,ponta do sol,-20.63,-46.0,67.1,93,98,4.25,BR,1576980393
227,chuy,-33.69,-53.46,61.63,74,74,15.35,UY,1576980394
228,leningradskiy,69.38,178.42,4.17,90,100,15.26,RU,1576980394
229,aksay,51.17,53.01,11.43,91,91,2.64,KZ,1576980394
230,richards bay,-28.77,32.06,74.98,77,100,29.95,ZA,1576980394
231,oliva,-32.04,-63.57,61.59,33,31,4.7,AR,1576980147
232,ode,8.45,4.32,73.9,25,58,6.51,NG,1576980394
233,muroto,33.37,134.14,50.0,57,75,10.29,JP,1576980395
234,fortuna,40.6,-124.16,55.0,100,90,3.36,US,1576980395
235,pineville,31.32,-92.43,52.0,81,75,3.49,US,1576980395
236,bandar-e lengeh,26.56,54.88,69.82,31,0,3.22,IR,1576980395
237,pangody,65.85,74.49,-8.25,98,94,6.38,RU,1576980395
238,muros,42.77,-9.06,59.0,81,75,13.87,ES,1576980395
239,diamantino,-14.4,-56.44,71.02,91,76,2.73,BR,1576980396
240,lumphat,13.5,106.97,83.37,54,100,6.04,KH,1576980396
241,upernavik,72.79,-56.15,-0.83,72,0,9.33,GL,1576980396
242,seoul,37.57,126.98,37.4,66,75,4.7,KR,1576980317
243,kahului,20.89,-156.47,77.0,65,75,20.8,US,1576980396
244,rocha,-34.48,-54.34,59.25,81,86,16.93,UY,1576980397
245,antalaha,-14.9,50.28,81.3,74,70,14.61,MG,1576980361
246,iqaluit,63.75,-68.52,-2.2,70,90,5.82,CA,1576980397
247,paamiut,61.99,-49.67,31.42,48,88,5.55,GL,1576980397
248,camacha,33.08,-16.33,66.2,88,75,3.36,PT,1576980397
249,forestville,48.74,-69.09,8.6,92,5,5.82,CA,1576980397
250,teknaf,20.86,92.31,69.19,47,18,1.03,BD,1576980397
251,sao felix do xingu,-6.64,-51.99,72.43,94,73,1.36,BR,1576980398
252,san patricio,-26.98,-56.83,64.58,74,0,4.65,PY,1576980398
253,ketchikan,55.34,-131.65,42.8,86,90,11.41,US,1576980398
254,tura,64.27,100.22,-22.16,97,89,1.63,RU,1576980398
255,polczyn-zdroj,53.76,16.1,37.99,10,93,6.06,PL,1576980398
256,kloulklubed,7.04,134.26,78.8,88,90,5.82,PW,1576980399
257,luba,17.32,120.7,84.29,58,5,2.42,PH,1576980399
258,finschhafen,-6.6,147.85,83.43,74,99,10.65,PG,1576980399
259,aguia branca,-18.98,-40.74,70.7,96,96,2.04,BR,1576980255
260,isangel,-19.55,169.27,84.2,62,75,14.99,VU,1576980399
261,tres arroyos,-38.38,-60.28,47.28,71,0,4.97,AR,1576980399
262,banda aceh,5.56,95.32,81.16,68,97,7.61,ID,1576980399
263,bathsheba,13.22,-59.52,80.6,74,40,21.92,BB,1576980400
264,grand gaube,-20.01,57.66,80.6,69,75,12.75,MU,1576980400
265,kabare,-1.65,29.38,52.09,95,55,1.01,RW,1576980400
266,puerto leguizamo,-0.19,-74.78,72.05,98,94,0.78,CO,1576980400
267,ostrovnoy,68.05,39.51,24.53,96,100,6.38,RU,1576980400
268,laguna,16.17,-88.94,71.6,94,90,2.55,BZ,1576980400
269,koutsouras,35.03,25.95,62.01,70,13,5.99,GR,1576980401
270,lompoc,34.64,-120.46,60.8,28,1,6.93,US,1576980401
271,nemuro,43.32,145.57,30.2,63,40,5.82,JP,1576980362
272,plaster rock,46.91,-67.4,14.0,85,1,3.36,CA,1576980401
273,damaturu,11.75,11.96,61.45,21,61,8.55,NG,1576980401
274,svetlaya,46.54,138.33,14.72,45,0,10.63,RU,1576980401
275,naliya,23.26,68.83,66.88,36,0,15.03,IN,1576980401
276,thinadhoo,0.53,72.93,82.98,78,38,10.92,MV,1576980402
277,adrar,27.87,-0.29,53.6,40,0,5.82,DZ,1576980402
278,formosa,-15.55,-47.33,67.39,78,97,1.19,BR,1576980402
279,serpa,37.94,-7.6,55.4,93,20,11.41,PT,1576980402
280,norman wells,65.28,-126.83,-38.2,72,20,3.36,CA,1576980402
281,maua,0.23,37.94,66.4,92,100,2.89,KE,1576980402
282,amuntai,-2.42,115.25,88.05,69,15,1.63,ID,1576980403
283,gap,44.56,6.08,39.99,88,89,2.57,FR,1576980403
284,alta floresta,-9.87,-56.08,70.75,95,60,4.12,BR,1576980403
285,biak,-0.91,122.88,82.9,68,100,1.1,ID,1576980403
286,kudahuvadhoo,2.67,72.89,82.49,83,9,14.88,MV,1576980403
287,rwamagana,-1.95,30.43,58.66,95,70,0.92,RW,1576980403
288,dunedin,-45.87,170.5,57.0,74,96,17.0,NZ,1576980403
289,raichur,16.2,77.36,70.92,80,40,7.36,IN,1576980404
290,necochea,-38.55,-58.74,55.99,81,0,5.01,AR,1576980404
291,orcopampa,-15.27,-72.34,40.75,47,100,1.59,PE,1576980404
292,pangai,-19.8,-174.35,80.35,80,8,11.45,TO,1576980404
293,san pedro,-33.68,-59.66,61.0,57,0,1.99,AR,1576980404
294,aginskoye,51.11,114.54,-6.0,89,0,2.77,RU,1576980404
295,victoria,5.28,115.24,82.4,78,75,2.24,BN,1576980369
296,seymour,33.59,-99.26,41.0,76,0,5.99,US,1576980405
297,port macquarie,-31.43,152.91,81.0,60,90,13.87,AU,1576980210
298,vardo,39.62,-77.74,28.99,73,1,3.76,US,1576980405
299,gueret,46.17,1.87,48.99,87,100,20.8,FR,1576980405
300,arman,59.7,150.17,4.3,99,100,11.27,RU,1576980405
301,olhao,37.03,-7.84,57.0,100,90,3.36,PT,1576980405
302,flinders,-34.58,150.85,72.0,67,90,12.75,AU,1576980405
303,olinda,-37.84,145.39,73.0,39,20,14.99,AU,1576980406
304,kasongo-lunda,-6.48,16.82,67.57,99,100,2.28,CD,1576980406
305,coronado,8.53,-79.9,82.4,94,20,6.46,PA,1576980406
306,rawson,-43.3,-65.11,63.88,56,0,14.18,AR,1576980406
307,vaitape,-16.52,-151.75,79.14,79,100,9.89,PF,1576980406
308,bapatla,15.9,80.47,74.35,81,53,6.69,IN,1576980406
309,kerema,-7.96,145.78,89.71,50,6,9.31,PG,1576980406
310,monteria,10.74,-74.19,86.0,66,75,17.22,CO,1576980407
311,kulhudhuffushi,6.62,73.07,82.87,80,0,19.51,MV,1576980407
312,yelkhovka,53.87,50.29,21.2,92,40,6.71,RU,1576980407
313,ahipara,-35.17,173.16,75.99,61,0,8.99,NZ,1576980407
314,barra,13.49,-16.54,71.6,73,10,4.7,GM,1576980407
315,sept-iles,50.2,-66.38,17.6,72,5,5.82,CA,1576980408
316,san clemente,33.43,-117.61,64.99,57,1,3.36,US,1576980408
317,krasnoye selo,59.73,30.09,36.0,93,90,6.71,RU,1576980408
318,huarmey,-10.07,-78.15,68.2,76,100,1.79,PE,1576980408
319,sabang,13.8,121.11,78.01,90,71,5.99,PH,1576980408
320,naduvattam,11.47,76.57,69.21,62,89,1.92,IN,1576980408
321,gladstone,-23.84,151.26,89.01,51,0,11.41,AU,1576980409
322,sahuaripa,29.05,-109.23,47.68,37,0,6.55,MX,1576980409
323,labuhan,-2.54,115.51,88.05,69,15,1.63,ID,1576980409
324,clyde river,70.47,-68.59,-7.6,76,75,1.92,CA,1576980409
325,awjilah,29.14,21.3,51.46,53,0,7.65,LY,1576980409
326,daru,-9.07,143.21,88.52,58,19,7.78,PG,1576980410
327,ilulissat,69.22,-51.1,23.0,41,100,14.99,GL,1576980286
328,morondava,-20.3,44.28,76.59,86,100,2.3,MG,1576980410
329,sandy bay,-42.9,147.33,73.99,42,24,14.99,AU,1576980410
330,coihueco,-36.63,-71.83,71.6,43,83,9.17,CL,1576980410
331,half moon bay,37.46,-122.43,59.0,76,20,17.22,US,1576980124
332,kirakira,-10.46,161.92,83.48,72,42,4.03,SB,1576980411
333,padang,-0.92,100.36,69.84,96,100,1.83,ID,1576980411
334,liverpool,53.41,-2.98,44.6,100,100,4.7,GB,1576980411
335,normal,40.51,-88.99,37.99,87,1,4.7,US,1576980170
336,okhotsk,59.36,143.24,-24.09,67,31,18.92,RU,1576980411
337,zaragoza,13.59,-89.29,86.0,64,97,12.75,SV,1576980179
338,wuwei,37.93,102.64,31.68,13,0,1.32,CN,1576980412
339,porto nacional,-10.7,-48.41,80.6,83,20,2.24,BR,1576980412
340,mehamn,71.03,27.85,21.29,92,75,3.56,NO,1576980412
341,ibra,22.69,58.55,62.29,61,0,8.52,OM,1576980413
342,mae hong son,19.3,97.96,60.8,93,90,1.95,MM,1576980413
343,mahibadhoo,3.78,72.97,82.22,83,78,18.01,MV,1576980413
344,sousa,35.69,140.55,48.0,87,75,6.93,JP,1576980413
345,ndjole,-0.18,10.76,71.42,99,11,2.59,GA,1576980413
346,khandyga,62.65,135.58,-36.69,96,100,0.29,RU,1576980414
347,bud,62.91,6.91,41.0,80,23,6.93,NO,1576980414
348,kieta,-6.22,155.63,84.4,72,99,6.6,PG,1576980414
349,pacific grove,36.62,-121.92,59.0,71,1,4.7,US,1576980313
350,saint-denis,48.94,2.36,50.0,87,100,17.22,FR,1576980414
351,najran,17.54,44.22,50.0,57,0,2.24,SA,1576980414
352,vestmannaeyjar,63.44,-20.27,36.66,64,100,34.54,IS,1576980415
353,hofn,64.25,-15.21,38.57,83,100,52.23,IS,1576980415
354,rongcheng,37.16,122.42,54.0,59,100,9.17,CN,1576980415
355,alamosa,37.47,-105.87,15.8,61,1,3.36,US,1576980415
356,maniitsoq,65.42,-52.9,22.46,56,100,14.12,GL,1576980415
357,yakeshi,49.28,120.73,-14.19,97,93,0.45,CN,1576980415
358,traverse city,44.76,-85.62,39.2,78,1,8.05,US,1576980416
359,tamiahua,21.28,-97.45,61.47,93,100,20.94,MX,1576980416
360,kangaatsiaq,68.31,-53.46,20.32,63,0,4.94,GL,1576980416
361,ekibastuz,51.72,75.32,20.7,90,100,16.17,KZ,1576980416
362,aljezur,37.31,-8.8,57.0,99,0,13.2,PT,1576980416
363,tucumcari,35.17,-103.73,44.6,26,1,7.52,US,1576980416
364,kitimat,54.02,-128.69,34.0,100,90,2.24,CA,1576980416
365,narathiwat,6.43,101.8,78.8,88,20,5.82,TH,1576980417
366,aklavik,68.22,-135.01,-22.0,74,75,6.89,CA,1576980417
367,kushiro,43.11,144.15,30.2,50,20,9.17,JP,1576980417
368,oktyabrskiy,55.61,37.97,37.0,80,90,8.95,RU,1576980417
369,puerto suarez,-18.96,-57.8,72.59,88,93,2.01,BO,1576980417
370,trinidad,-14.83,-64.9,76.14,91,100,4.68,BO,1576980418
371,liberia,10.63,-85.44,82.4,69,20,18.34,CR,1576980418
372,rorvik,64.86,11.24,39.0,78,100,10.8,NO,1576980418
373,vitim,59.44,112.57,-22.13,96,100,5.1,RU,1576980418
374,maceio,-9.67,-35.74,75.2,88,75,3.36,BR,1576980418
375,teguldet,57.31,88.17,7.3,94,100,8.75,RU,1576980419
376,derzhavinsk,51.1,66.31,5.88,94,100,13.15,KZ,1576980419
377,sibu,2.29,111.83,80.6,83,40,2.24,MY,1576980419
378,batavia,43.0,-78.19,37.99,69,20,11.41,US,1576980419
379,nieuwpoort,51.13,2.75,48.2,93,20,10.29,BE,1576980419
380,tikhvin,59.64,33.53,33.01,94,100,7.4,RU,1576980419
381,hattiesburg,31.33,-89.29,48.99,100,90,6.93,US,1576980412
382,wageningen,51.98,5.66,46.0,93,90,13.87,NL,1576980420
383,port maria,18.37,-76.89,82.4,77,20,4.7,JM,1576980420
384,hobyo,5.35,48.53,74.61,76,0,13.82,SO,1576980420
385,northam,-31.65,116.67,75.2,53,100,9.17,AU,1576980420
